Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17,18,19,20
Case1,1.2517283229146832,2.5034566458293663,1.8775924918226052,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8978808055254333+2.7755575615628914e-17j),(0.3088912831552898+0j),(0.31368174039889146-2.2440234211865178e-17j),(-0.9055059960745367+4.5665464987638796e-18j),(0.2982196654914022-1.5039480414442213e-18j),(0.3018673917256668+1.5183959061021348e-17j),(-0.859981673412216+5.046468293750712e-18j),(0.34943632352480053+0j),(0.3570133540570026-5.032252533203573e-18j),0.035964180463460615,0.030111165877368395,1.204872182484722,4.324152392992001,0.9993750578347846
Case1,1.3008157081270237,2.5034566458293663,1.9021361844287756,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.9187735472402051+0j),(0.29106609883630663+0j),(0.2667127574748984+1.1743316798443627e-17j),(-0.9295037644915429+3.541153006145033e-18j),(0.2591998652618156-9.87480005060934e-19j),(0.2623703139539748+1.352085028466743e-17j),(-0.864880996231215+4.625929269271485e-18j),(0.3445721381340927+0j),(0.34948830434182715-3.634288422232973e-18j),0.018675622538578407,0.04693890336076012,1.212867476288247,4.330939096097514,0.997382521166243
Case1,1.2517283229146832,2.5034566458293663,1.8775924918226052,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8978808055254333+2.7755575615628914e-17j),(0.3088912831552898+0j),(0.31368174039889146-2.2440234211865178e-17j),(-0.9051315619690001+4.5818452159254186e-18j),(0.2987805719064301-1.5124501139071126e-18j),(0.3024351589660587+1.5206775041389994e-17j),(-0.8674194431000011+6.4051328343759035e-18j),(0.3418274569818771+0j),(0.3467339532692937-5.080899636820065e-18j),0.010638143445043213,0.028608058116411983,1.2158567721825884,4.334793714678626,0.9993750578347846
Case1,1.2517283229146832,2.5034566458293663,1.8775924918226052,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8978808055254333+2.7755575615628914e-17j),(0.3088912831552898+0j),(0.31368174039889146-2.2440234211865178e-17j),(-0.8993976271945126+4.813465188552615e-18j),(0.30721403381709134-1.6441716238746347e-18j),(0.31097177624780015+1.5545885946168505e-17j),(-0.8695952547018176+7.93016446160826e-18j),(0.3394748731371208+0j),(0.3443730809214078-6.320852106466144e-18j),0.006574875445865547,0.0059040441495217255,1.2184190258063092,4.338097673462436,0.9993750578347846
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.8731451994918215+5.81094551673075e-18j),(0.3425848617565483-2.2799666855898286e-18j),(0.34677524868368836+1.688379224428109e-17j),(-0.8699242744285818+7.401486830834377e-18j),(0.33851468913707716+0j),(0.34540787796231315-6.557915837106812e-18j),0.007560575105235168,0.03201787864510236,1.2173671532660448,4.339324858234661,0.9998825000196135
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.8778531064763888+5.639594472376027e-18j),(0.3365898494456346-2.162355228212131e-18j),(0.34070690732639797+1.6667000948455068e-17j),(-0.8702121666895003+6.938893903907228e-18j),(0.33767452813703897+0j),(0.34631332537310533-6.765346601417397e-18j),0.009018291255147026,0.03402841729708567,1.2164467647933133,4.340398644910357,0.9998825000196135
Case1,1.2026409377023426,2.5034566458293663,1.853048799216435,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8745305506032779+0j),(0.3250721131364658+0j),(0.35989503653498833-9.876808066076165e-18j),(-0.8855164516563385+5.353675260543504e-18j),(0.32652444280774723-1.974108813170886e-18j),(0.33051838389877425+1.6293684595615825e-17j),(-0.8704661892726637+6.530723674265627e-18j),(0.3369332096075935+0j),(0.3471122495590984-6.948373746397324e-18j),0.010304511387422166,0.04181487926677174,1.2156346573173737,4.341346103741853,0.9998825000196135
Case1,1.227184630308513,2.454369260617026,1.84077695291335,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.8607687726578668+0j),(0.3815525477551397+0j),(0.3368898533922201+1.8585982997373975e-17j),(-0.8595376364404055+6.287989751592792e-18j),(0.35917943714718903-2.6275947951709994e-18j),(0.36357280353880933+1.7461542246375128e-17j),(-0.869927443905175+6.1679056923619804e-18j),(0.33941206172690164+0j),(0.34654433866093853-5.529798371743364e-18j),0.0077964937374429,0.05028720054244046,1.2162763224835482,4.338779443174548,0.9995154324059652
Case1,1.1044661672776617,2.405281875404685,1.754874028791754,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.7604511509217885+0j),(0.4685762470590504+0j),(0.4496113296546066-1.2488600612229063e-17j),(-0.7764850413129111+8.635415217763409e-18j),(0.44285654484628956-4.925078968920743e-18j),(0.4482734224824096+1.9823558015508342e-17j),(-0.8641655337481545+5.843279076974508e-18j),(0.34621017674438315+0j),(0.35196891713428946-5.896051121242611e-18j),0.02350973642439158,0.043091508933048195,1.210391577472712,4.329378204280964,0.9898848139708102
Case1,1.2517283229146832,2.5034566458293663,1.8775924843720246,(-0.8747571302500426+0j),(0.34054774220735373+0j),(0.3447132117488154+1.9077527051391966e-17j),(-0.897880803224014+0j),(0.3088912898450231+0j),(0.3136817403988915+2.090951651153293e-17j),(-0.888949487120774+5.222758919695745e-18j),(0.32188404457582087-1.89113418621919e-18j),(0.3258212258205777+1.6117718452777208e-17j),(-0.8658512972219475+5.551115123125783e-18j),(0.3443442323994152+0j),(0.35005455829751964-4.555772739603835e-18j),0.018043669768860793,0.03406355625572388,1.2124584147448105,4.331961750576985,0.9993750538660676
