Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16,17
Case1,1.9634954084936207,0.9817477042468103,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.884097590017467+0j),(-0.2681880719170425+0j),(-0.3826834323650897+8.998106029641882e-18j),(0.893472998064199-1.6136962567226112e-18j),(-0.23831610157687938+0j),(-0.3733350789032076+6.797080236170232e-19j),0.015249473242780254,0.050164795516527805,1.953792088160948,1.3098790438786119,0.9996359791531144
Case1,2.012582793705961,0.9817477042468103,0.29943304979527713,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8663415132320184+2.7755575615628914e-17j),(-0.25816472364108756+0j),(-0.427555093430282+2.01483118334052e-17j),(0.8928563734089222-9.462128050782583e-19j),(-0.2387672066237932+0j),(-0.3745673519606411+1.1221762920213001e-18j),0.015084929887537346,0.1593476487273117,1.9551282405596984,1.309226810018691,0.9990543831870702
Case1,1.9880391010997909,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8884235837714644-1.3877787807814457e-17j),(-0.2155991957827706+0j),(-0.40524131400498986-1.81858708451056e-18j),(0.8927578669725342-1.2335811384723962e-18j),(-0.23825236193843716+0j),(-0.37524899556162666+1.0568259947650365e-18j),0.01398694803758374,0.13096492511522972,1.9558595930161446,1.3097489366519435,0.9997649872968803
Case1,1.9389517158874505,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9055858498566796+0j),(-0.22447679438381868+0j),(-0.3598950365349883+1.3691601953145487e-17j),(0.8930367361656677-1.206764157201257e-18j),(-0.2379528930785541+0j),(-0.3749152138436563+1.3314950373385245e-18j),0.013742391702537604,0.03782313768601003,1.9554920304698689,1.3101416504202448,0.9998577151910673
Case1,1.9389517158874505,1.030835089459151,0.29697868053466014,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9055858498566796+0j),(-0.22447679438381868+0j),(-0.3598950365349883+1.3691601953145487e-17j),(0.8933037385846253-1.1810883240693154e-18j),(-0.2376661675744108+0j),(-0.3745956356030463+1.5944760355471833e-18j),0.013508242020046662,0.12675596356075344,1.955140108883009,1.3105176529643632,0.9998577151910673
Case1,2.012582793705961,0.9817477042468103,0.28961557424292517,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8637652781966976-2.7755575615628914e-17j),(-0.26665743241770823+0j),(-0.42755509343028203+2.4493688935192773e-17j),(0.8926883539932101-1.734723475976807e-18j),(-0.23827015225864617+0j),(-0.3756989576411137+2.0715429709564664e-18j),0.013624289257629818,0.1593476487273117,1.956336831483487,1.309701936829475,0.9988854139261175
Case1,2.110757564130642,0.9817477042468103,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.8226061445781121+1.3877787807814457e-17j),(-0.2429351751297718+0j),(-0.5141027441932216+8.637457700230338e-19j),(0.8912581048214734-1.4161007967157607e-18j),(-0.23836535680703647+0j),(-0.3785235247136057+2.046894048488437e-18j),0.012325175905264885,0.22986367258315807,1.9594882750068983,1.3091699610432146,0.9941606044793939
Case1,1.8407769454627694,1.030835089459151,0.3018874190558942,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9365918280627252+0j),(-0.22728847882428793+0j),(-0.2667127574748982+4.35148807317165e-18j),(0.8921647792862984-1.3877787807814458e-18j),(-0.23814381924738154+0j),(-0.3762873093688316+2.0929859289821016e-18j),0.013433179225558978,0.17982809638501218,1.9571140484160157,1.3096410119926511,0.9963520486696343
Case1,1.88986433067511,1.1290098598838318,0.2945243112740431,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9392509717922283-1.3877787807814457e-17j),(-0.13932472044715277+0j),(-0.3136817403988914-1.9947125353774977e-17j),(0.8930880379628853-1.6326809185664067e-18j),(-0.23620618985914174+0j),(-0.3750597491929504+1.660826884222159e-18j),0.01179985133661357,0.21987744678855778,1.9557954264995272,1.3118742111919692,0.9962746820966226
Case1,1.9880391010997909,1.1290098598838318,0.3117048960983623,(0.8953905371959323-4.163336342344337e-17j),(-0.2318243722533473+0j),(-0.38017528369072245+1.283545098112675e-18j),(0.9064858864168817-1.3877787807814457e-17j),(-0.11858674104009026+0j),(-0.40524131400498964-1.471745070074045e-18j),(0.8933456888946929-1.8681637433596387e-18j),(-0.2339442773818523+0j),(-0.37564016390087424+1.600585115870309e-18j),0.008699873219592646,0.16979941454585917,1.9564154971649168,1.3143519139763966,0.9966064728643004
