Case,Theta,Phi,X,Y,Z,err,temTh,temPh,cost,fev
Case17,0.4908738521234052,3.436116964863836,(-0.1304025070413673+0j),(0.6434039263531727+0j),(0.7084594421177262-3.434715387969964e-18j),0.287392741342556,0.7485826244881928,3.3624858870453256,0.9631450175805544,8477
Case17,0.6872233929727672,3.6324665057131984,(-0.18661864603393497+0j),(0.6154309266566842+0j),(0.729976445866063-4.08918063162578e-18j),0.2806666057948137,0.7281295473163842,3.452479426601283,0.989642739184374,8426
Case17,0.39269908169872414,3.730641276137879,(-0.1931158654484047+0j),(0.5411206062783154+0j),(0.778452217527369-6.844198918469589e-18j),0.39695547842001877,0.6442719309119692,3.522019888985432,0.9397951508319422,8543
Case17,1.227184630308513,3.436116964863836,(-0.20915585537522527+0j),(0.6130967837912341+0j),(0.6901397447003392-6.06958675222469e-18j),0.22062683815324965,0.7608544707912779,3.504839304161113,0.9680116107196642,8360
Case17Fin,0.8835729338221293,3.5342917352885173,(-0.20915585537522527+0j),(0.6130967837912341+0j),(0.6901397447003392-6.06958675222469e-18j),0.22062683815324965,0.7608544707912779,3.504839304161113,0.9967778291995472,8366
Case18,0.8344855486097889,5.6941366846315,(-0.41165038936959114+0j),(-0.6160783449340224+0j),(0.6715589548470186-2.1638445848847227e-18j),0.3260481397106053,0.8344855486097889,5.6941366846315,0.9896599528297736,8435
Case18,1.3008157081270237,5.64504929941916,(-0.4928855607251942+2.7755575615628914e-17j),(-0.6950952698208527+0j),(0.46913585616095843-1.3396636682131842e-19j),0.5262529919278927,1.0676506283684062,5.66959299202533,0.9199168557605673,8396
Case18,0.2699806186678728,5.546874528994478,(-0.3882948207015325+1.850371707708594e-17j),(-0.5292705524797519+0j),(0.6340159260391189+2.234385419325495e-18j),0.3001389447322931,0.8017606251348951,5.6286868376817125,0.941580465748539,8525
Case18,1.3744467859455345,5.105088062083414,(-0.5177529771143714+1.3877787807814457e-17j),(-0.4907854837392802+0j),(0.5242845250333713-4.987143146415373e-18j),0.24460446361062899,0.9449321653375549,5.497787143782138,0.8896286099778988,8339
Case18,1.0062913968529805,5.546874528994478,(-0.5276761771470713+1.1102230246251566e-17j),(-0.5178274269778081+0j),(0.5264271440041165+6.090395681602238e-19j),0.2794269879111116,0.9572040116406401,5.507604620824607,0.9824042512747463,8411
Case18Fin,0.760854470791278,5.448699758569798,(-0.5276761771470713+1.1102230246251566e-17j),(-0.5178274269778081+0j),(0.5264271440041165+6.090395681602238e-19j),0.2794269879111116,0.9572040116406401,5.507604620824607,0.9890353233662592,8375
Case19,1.2026409377023426,5.64504929941916,(-0.5557831613623025-5.551115123125783e-17j),(-0.7493868428412687+0j),(0.3598950365349882+1.96844819606302e-17j),0.4891199829444563,1.2026409377023426,5.64504929941916,0.9788237436479806,8336
Case19,1.1290098598838318,5.301437602932776,(-0.653711394220652-2.7755575615628914e-17j),(-0.6258081925345427+0j),(0.39372506498263515+8.132366397172218e-18j),0.23378307133173387,1.1658253987930873,5.473243451175968,0.9977478349169275,8357
Case19,1.2762720155208536,5.988660995905543,(-0.5284026349837017+0j),(-0.7224503970734526+0j),(0.3592449357399109+3.066381270150812e-18j),0.49021416435031845,1.2026409377023428,5.64504929941916,0.9097187492426425,8540
Case19,0.44178646691106466,5.497787143782138,(-0.4718837527116264+6.938893903907228e-18j),(-0.6174195742789396+0j),(0.49543102508579406+3.1161829434956385e-18j),0.30745923850790885,1.0124273200045233,5.608233760509904,0.9077089029790554,8552
Case19,0.7853981633974483,5.105088062083414,(-0.5081632986569388+5.551115123125783e-18j),(-0.5480552694377714+0j),(0.5377661763059448-1.8852435593331643e-18j),0.24415053894157906,0.9670214886831083,5.507604620824607,0.9716882966089605,8414
Case19Fin,1.055378782065321,5.350524988145116,(-0.5081632986569388+5.551115123125783e-18j),(-0.5480552694377714+0j),(0.5377661763059448-1.8852435593331643e-18j),0.24415053894157906,0.9670214886831083,5.507604620824607,0.9945709004407518,8348
Case20,1.7671458676442586,0.2945243112740431,(0.28470693857777907-5.551115123125783e-17j),(-0.9385529955102758+0j),(-0.19509032201612814+2.5509309079649567e-18j),0.1826492691330897,1.7671458676442586,0.2945243112740431,0.9950341278318828,8372
Case20,1.88986433067511,0.2454369260617026,(0.257711733360747+0j),(-0.9298125032372372+0j),(-0.2543860312075098+1.2874622967131271e-18j),0.1416082728857015,1.8285050991596843,0.2699806186678728,0.9988644918368689,8525
Case20,1.9144080232812801,0.09817477042468103,(0.20257030782833435+0j),(-0.9322117598778227+0j),(-0.2818873052690799+1.278480720409304e-18j),0.17164768099712951,1.857139407200216,0.2127120025868089,0.9896445484598753,8459
Case20,1.7916895602504288,0.14726215563702155,(0.18771903998816586+0j),(-0.9404442268475457+0j),(-0.2661907889910273-6.462519813731472e-20j),0.2104279320850736,1.8407769454627694,0.19634954084936207,0.9902732603531545,8552
Case20,2.0371264863121317,0.9326603190344698,(0.2936641291948875+0j),(-0.8587740004736184+0j),(-0.3028748971237432-9.917955817163384e-19j),0.0677522967644924,1.880046853632642,0.3436116964863836,0.9176999858440675,8405
