Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13,14,15,16
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.46507395724662093+2.6425337919435774e-19j),(0.4524166942587945+2.570615670884153e-19j),(0.7609371518377273-3.143443694438612e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),0.009893992043966626
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.4618590328352081+2.634245400885043e-19j),(0.45327602862647154+2.5852916341397067e-19j),(0.7623824995769121-3.132942793404831e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),0.013694929826887192
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.4703449143158409+2.655669715944743e-19j),(0.4509912979437634+2.5463949872744015e-19j),(0.7585397225961368-3.160655472570487e-19j),(0.46749593794028466+0j),(0.45616040027785465+0j),(0.7572088465064845-1.2783931651088071e-17j),0.009348954799299647
Case3,0.6872233929727672,1.3744467859455345,1.030835089459151,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.42603249087490547+0j),(0.4700544178186814+0j),(0.773010453362737+2.0719690129015426e-17j),(0.4358484053955596+2.559676668321128e-19j),(0.4599537690374786+2.701244094361423e-19j),(0.7736140496800494-3.048132848004765e-19j),(0.45713007617393986+0j),(0.45963390466306137+0j),(0.7611592482205476-4.408026206062197e-18j),0.020520159619169365
Case3,0.6872233929727672,1.3744467859455345,1.0308350969097315,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4260324873727271+0j),(0.47005442099287076+0j),(0.7730104533627368-1.6234190010573323e-17j),(0.40558620497854714+2.4568281487855833e-19j),(0.46712720392613244+2.8296111888961537e-19j),(0.785679327514256-2.9506236028279736e-19j),(0.45091055841369737+0j),(0.4617180079290233+0j),(0.7635294892489854-6.773258966964423e-18j),0.03604237394042625
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.47029198572996855+2.655540625627841e-19j),(0.4510057134917965+2.5466391750409477e-19j),(0.7585639686644222-3.1604826899169666e-19j),(0.4536747883347952+0j),(0.4607917399871618+0j),(0.762476048791902-7.775037747651697e-18j),0.009305856733679618
Case3,0.6872233929727672,1.3744467859455345,1.030835089459151,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.42603249087490547+0j),(0.4700544178186814+0j),(0.773010453362737+2.0719690129015426e-17j),(0.42864102590333547+2.536711889432689e-19j),(0.46171933568872037+2.7324704301325387e-19j),(0.7765836245786429-3.0247524466820756e-19j),(0.44972588869766805+0j),(0.4621149796773789+0j),(0.7639809637305927-3.704362336699251e-18j),0.014516788374296985
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.4709067385579277+2.6570364440890845e-19j),(0.45083815190540594+2.5438017805113185e-19j),(0.7582821403456986-3.1624894377199496e-19j),(0.45194714485299514+0j),(0.46137065725243837+0j),(0.7631344490775792-4.8393085009978534e-18j),0.009806342829305759
Case3,0.7117670855789375,1.325359400733194,1.0185632431560658,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.4674959379402847+0j),(0.45616040027785465+0j),(0.7572088465064846-1.2783931651088071e-17j),(0.46104795771575235+2.6321215098278586e-19j),(0.45349162772849305+2.5889824429217546e-19j),(0.7627451240527834-3.130293506277053e-19j),(0.45367478852936066+0j),(0.4607917398108179+0j),(0.762476048791902-5.722044406563433e-18j),0.014653030320192773
Case3,0.6872233929727672,1.3744467859455345,1.030835089459151,(0.4412760784611452+0j),(0.4586001569928468+0j),(0.7713373571817258-7.569118719829086e-19j),(0.42603249087490547+0j),(0.4700544178186814+0j),(0.773010453362737+2.0719690129015426e-17j),(0.43411704372431326+2.554249317118937e-19j),(0.4603812018248721+2.708781853592347e-19j),(0.774332965431764-3.042509505464645e-19j),(0.45091055876391517+0j),(0.4617180076116043+0j),(0.7635294892489856-3.077870953005547e-18j),0.01908028091224412
