Case,Theta,Phi,timeErr,initX,initY,initZ,traceX,traceY,traceZ,noiseX,noiseY,noiseZ,13
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.19901382339807927-1.579240972874136e-19j),(-0.27279313371785824-2.1647043734457117e-19j),(0.9412637272799099-9.612686088502841e-20j),0.015739016150451535
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.18905869458822686-1.5062786420065075e-19j),(-0.2733412565658463-2.177779221638583e-19j),(0.9431550071221588-9.330936866834369e-20j),0.027572871844319363
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.19657322804937086-1.5614421518330306e-19j),(-0.27293021651850957-2.167969406667535e-19j),(0.941736726970659-9.542391817468627e-20j),0.018229018184338835
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.21298599331724252-1.6799843649478562e-19j),(-0.27197435346541576-2.1452709371743951e-19j),(0.9384385529738942-1.0030191235101494e-19j),0.015214666213407252
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.20040417984077263-1.5893543618567072e-19j),(-0.27271425300757807-2.1628270822618024e-19j),(0.9409915519859173-9.653083787742966e-20j),0.014541954291470593
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.21174309297355487-1.6711042317166513e-19j),(-0.27204954137222964-2.1470506236559326e-19j),(0.9386979863710969-9.992020115004655e-20j),0.013787520379330787
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.19892613027940603-1.5786024563532471e-19j),(-0.27279808974120207-2.1648223586769152e-19j),(0.9412808278753008-9.610146676522547e-20j),0.01581456469707776
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.19678821315376668-1.563012341278092e-19j),(-0.2729182119722171-2.167683351740219e-19j),(0.9416953056788782-9.548552114827133e-20j),0.01796060724186968
Case2,0.36815538909255385,3.5833791205008576,1.9757672622472864,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.2384001484684129+0j),(-0.2696104718529292+0j),(0.9329927988347388+7.788410237631514e-18j),(-0.2237056250105075-1.75588572714624e-19j),(-0.2713067050614213-2.129510918976885e-19j),(0.936134854135542-1.0367652700576535e-19j),0.01953281575217458
Case2,0.3436116964863836,3.6324665057131984,1.9880391085503717,(-0.20631828440357505+0j),(-0.2723723213339984+0j),(0.9398117280029519-8.4175048284629715e-19j),(-0.20726527837420042+0j),(-0.2655859139696545+0j),(0.9415440651830208+4.473081475023644e-18j),(-0.20000721712561254-1.5864688263662618e-19j),(-0.2727368326986459-2.1633643480301342e-19j),(0.9410694624666016-9.641523728703114e-20j),0.014883586217014244
Case3,1.5462526341887264,3.9760782021995817,2.7611654256447347,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.4384841422215681+0j),(-0.8984037984797271+0j),(0.024541228522912406+1.2799804005888896e-17j),(0.4456775007429096+1.7283280217877955e-19j),(-0.8938351770098866-3.466274112358629e-19j),(0.049297481388588915-7.847367733668142e-18j),0.03651824281744975
Case3,1.521708941582556,4.025165587411922,2.7734372719478197,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.49230448124569554+5.551115123125783e-17j),(-0.8690389295546574+0j),(0.04906767432741832+2.7380372136077105e-18j),(0.47128479626106745+1.7740812611068972e-19j),(-0.8806427240713943-3.3150480705083924e-19j),(0.04856988113304654-7.732097343710157e-18j),0.033121262552937694
Case3,1.4971652489763858,3.9760782021995817,2.7366217330385645,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.41530123291975357+0j),(-0.9067045499597555+0j),(0.07356456359966751-8.032203774709665e-18j),(0.4193246931431116+1.6723881719789143e-19j),(-0.9064587310798842-3.615219625827363e-19j),(0.04999370529857794-7.957643923117967e-18j),0.027840147254029446
Case3,1.521708941582556,4.025165587411922,2.7734372719478197,(0.4404883010879235+0j),(-0.8963960450246311+0j),(0.04943872034017932-7.889022939944509e-18j),(0.49230448124569554+5.551115123125783e-17j),(-0.8690389295546574+0j),(0.04906767432741832+2.7380372136077105e-18j),(0.46760381895717895+1.768045132434968e-19j),(-0.882596824367771-3.3371648304884756e-19j),(0.048677655167309014-7.74917305451776e-18j),0.03864856611894038
