Al,Ap,tau,N,x,z,6
2.1922828298568025,0.604836264991831,2.8850000000000002,13.0,2.8830092402366914,1.22963353936037,0.06266374569873176
4.647698794113845,1.7991583696025009,0.31,9.0,0.30671309463275975,0.13467991394210613,0.056406849237610586
1.5923242751213338,0.6989590614097821,4.0200000000000005,13.0,4.00919632746049,0.2148254061913452,0.012592260220313739
0.6399036027676299,0.8739850509347086,2.58,9.0,2.5732561557725853,1.5934630910414875,0.062180047080802256
3.1637902686729507,0.6631175123264147,4.0200000000000005,13.0,4.018182575014913,1.7095144605907844,0.02835837929092223
1.2244177881125333,1.3761195223878269,3.2800000000000002,9.0,3.26952503055958,2.027678599574627,0.05574156755125215
1.1921450666133515,0.8447087571913001,0.47500000000000003,15.0,0.46168717622053185,0.3295523172540819,0.04130303079965715
2.2282031653333982,0.4851763737182245,2.87,17.0,2.87,1.7578750000000003,0.03632334516817329
3.8601634065322012,1.6926561494274948,0.335,9.0,0.3290858710246512,0.15095715647979857,0.057561835338039054
4.411852405840628,0.8992929653088931,2.87,13.0,2.8666444173028975,0.685634100589876,0.024140031625828253
1.8271540161708064,0.7314002214464995,3.0300000000000002,13.0,3.0179670012249176,0.7023799433910533,0.0076599129952194455
1.2547718362815856,1.5003927568059905,3.2600000000000002,9.0,3.249203186764805,2.0159566279669168,0.008294451888412907
3.6977771798051777,1.7321964682534763,3.765,9.0,3.755155650506665,2.321420282886074,0.010580939712081232
4.366171738947137,0.8430159483597758,2.8850000000000002,13.0,2.8849852511217464,1.2260881278043656,0.05125042950064876
0.5842441475267331,0.4418630606210461,0.525,13.0,0.5317279371528765,0.21924969225490148,0.02189404463328999
4.758761333972935,1.4318587391652824,3.995,9.0,3.988475874005154,0.20780850598207207,0.02036739317856704
2.962191764731809,0.7137483855954225,4.115,13.0,4.11029840441935,1.7546051522897792,0.02104810914646046
3.963175520078338,1.8525562417293862,4.32,9.0,4.309605315458588,0.2278344661066576,0.07106333394915568
1.4174886997077356,1.4966919877213398,1.365,9.0,1.3722786083544454,1.0870394024059085,0.05614711909857953
3.0237977650148893,1.3989720919082966,0.37,9.0,0.36161508524178554,0.16647214499262303,0.05184172660883667
2.6558922637624818,1.8558638452723184,2.695,13.0,2.6860379334071296,0.16455540825450243,0.08714994242624119
1.3527598539531898,0.6008342163280659,4.165,13.0,4.158566981558349,0.9965955193187843,0.047799054763113635
2.9309248212795804,1.3199032703104623,0.375,9.0,0.36682175485368734,0.1668537818682849,0.0482389468859457
3.0113048489827285,0.6553779777260265,4.09,13.0,4.089418991375568,0.9691236186998803,0.030163005374113542
1.7517755722691049,0.5994968017221961,3.935,13.0,3.9283040409398806,1.6818258483065218,0.011643015700055364
